name,issns,active,withdrawn_date,withdrawal_reason
Nepalese Journal of Insurance and Social Security,2565-4942;2738-9693,true,,
Nepalese Journal of Ophthalmology,2072-6805;2091-0320,true,,
Nepalese Journal of Radiology,2091-136X;2091-1378,true,,
Nepalese Journal of Statistics,2565-5213;2645-839X,true,,
Nepalese Journal of Zoology,2705-4403;2705-4411,true,,
Our Nature,1991-2951;2091-2781,true,,
Prithvi Academic Journal,2631-200X;2631-2352,true,,
Prithvi Journal of Research and Innovation,2705-4888;2705-4896,true,,
PYC Nepal Journal of Management,2091-0258;2738-9847,true,,
The Outlook: Journal of English Studies,2565-4748;2773-8124,true,,
Anuradhapura Medical Journal,2345-9719;2279-3771,true,,
Ceylon Journal of Medical Science,2659-2002;0011-2232,true,,
Ceylon Journal of Science,2513-230X;2513-2814,true,,
Ceylon Medical Journal,2386-1274;0009-0875,true,,
Colombo Business Journal,2579-2210;1800-363X,true,,
"Engineer: Journal of the Institution of Engineers, Sri Lanka",2550-3219;1800-1122,true,,
FARU Journal,2012-6301;2806-5182,true,,
International Journal on Advances in ICT for Emerging Regions (ICTer),2550-2794;1800-4156,true,,
Journal of Agricultural Sciences,2386-1363;1391-9318,true,,
Journal of Business and Technology,2738-2028;2550-2530,true,,
Journal of the Ceylon College of Physicians,2448-9514;0379-802X,true,,
Journal of the College of Community Physicians of Sri Lanka,2579-1451;1391-3174,true,,
Journal of the National Science Foundation of Sri Lanka,2362-0161;1391-4588,true,,
Journal of the Postgraduate Institute of Medicine,2362-0323,true,,
Kelaniya Journal of Management,2448-9298;2279-1469,true,,
Ruhuna Journal of Science,2536-8400;1800-279X,true,,
South-East Asian Journal of Medical Education,1906-0513;2536-9059,true,,
Sri Lanka Journal of Aquatic Sciences,2424-7057;1391-2038,true,,
Sri Lanka Journal of Child Health,2386-110X;1391-5452,true,,
"Sri Lanka Journal of Forensic Medicine, Science & Law",2465-6089;2012-7081,true,,
Sri Lanka Journal of Medicine,2579-1990,true,,
Sri Lanka Journal of Psychiatry,2579-2008;2012-6883,true,,
Sri Lanka Journal of Sexual Health and HIV Medicine,2478-0693;1800-2323,true,,
Sri Lanka Journal of Surgery,2279-2201;1391-491X,true,,
Sri Lanka Journal of the Humanities,2279-3321;0378-486X,true,,
Sri Lankan Journal of Anaesthesiology,2279-1965;1391-8834,true,,
Sri Lankan Journal of Applied Statistics,2424-6271;1391-4987,true,,
Sri Lankan Journal of Biology,2550-3340;2513-2245,true,,
Sri Lankan Journal of Infectious Diseases,2448-9654;2012-8169,true,,
